n, cycles
32, 76200
32, 72296
32, 70732
32, 68344
32, 68268
32, 67898
32, 67662
32, 69286
32, 68260
32, 67726
32, 69046
32, 68888
32, 68010
32, 68832
32, 68792
32, 68954
32, 68456
32, 72292
32, 75816
32, 69106
32, 68432
32, 69080
32, 68438
32, 69062
32, 69150
32, 69470
32, 70054
32, 68446
32, 67846
32, 67958
64, 383772
64, 363728
64, 372036
64, 369608
64, 369878
64, 365972
64, 369494
64, 368694
64, 362276
64, 362904
64, 361828
64, 362148
64, 361822
64, 363360
64, 364734
64, 367878
64, 371890
64, 368174
64, 367788
64, 366536
64, 364118
64, 358516
64, 361508
64, 364668
64, 365328
64, 365740
64, 363224
64, 371464
64, 366726
64, 368962
128, 1784896
128, 1727096
128, 1747322
128, 1733746
128, 1721452
128, 1727810
128, 1727214
128, 1712752
128, 1726376
128, 1715280
128, 1723416
128, 1741412
128, 1723298
128, 1709830
128, 1705364
128, 1708884
128, 1704008
128, 1713856
128, 1711796
128, 1709242
128, 1714136
128, 1717010
128, 1728582
128, 1730208
128, 1741846
128, 1725778
128, 1740612
128, 1734768
128, 1728850
128, 1723554
256, 9813728
256, 9553954
256, 9586596
256, 9590726
256, 9605306
256, 9664682
256, 9617448
256, 9545654
256, 12329822
256, 9679674
256, 9603588
256, 9580400
256, 9633446
256, 9556604
256, 9613758
256, 9576184
256, 9517010
256, 9579172
256, 9556502
256, 9560336
256, 9533164
256, 9552250
256, 9561766
256, 9564718
256, 9576688
256, 9534622
256, 9568996
256, 9558208
256, 9535746
256, 9490646
512, 54820660
512, 53653020
512, 53365400
1024, 366850098
1024, 344186934
1024, 339034982
2048, 2432546278
2048, 2455598570
2048, 2451133260
4096, 18133508708
4096, 18161750848
4096, 18182521392
8192, 145842367498
8192, 145763281208
8192, 144634531162
