n, cycles
32, 6955006 
32, 6936718 
32, 6935096 
32, 6896484 
32, 6870044 
32, 6964836 
32, 6903688 
32, 6886218 
32, 6883880 
32, 6975444 
32, 6935822 
32, 6910836 
32, 6931846 
32, 6913786 
32, 6903574 
32, 6929234 
32, 6956998 
32, 6905922 
32, 6905988 
32, 6891550 
32, 6911648 
32, 6933928 
32, 6972946 
32, 6911386 
32, 6914106 
32, 6906298 
32, 6890170 
32, 6905050 
32, 6898202 
32, 6888196 
64, 36593736 
64, 36697556 
64, 36619462 
64, 36598564 
64, 36445208 
64, 36556466 
64, 36597888 
64, 36575228 
64, 36517654 
64, 36607666 
64, 36530334 
64, 36537580 
64, 36567234 
64, 36646222 
64, 36494744 
64, 36440606 
64, 36657838 
64, 36618948 
64, 36593610 
64, 36589048 
64, 36448684 
64, 36831942 
64, 36609652 
64, 36582108 
64, 36661658 
64, 36503326 
64, 36674788 
64, 36725248 
64, 36494592 
64, 36539302 
128, 251555034 
128, 243475772 
128, 243308254 
128, 243205694 
128, 243378242 
128, 243979784 
128, 243242660 
128, 243245390 
128, 243599576 
128, 243428746 
128, 243265646 
128, 243016424 
128, 243839166 
128, 243539160 
128, 243501936 
128, 243121312 
128, 243375416 
128, 243257652 
128, 243735510 
128, 243336690 
128, 243751238 
128, 245558246 
128, 243441800 
128, 243342552 
128, 243713728 
128, 243448248 
128, 243379490 
128, 244057376 
128, 243576648 
128, 243359266 
256, 1776071626 
256, 1777178872 
256, 1776069348 
256, 1775833472 
256, 1777926728 
256, 1775546164 
256, 1779544228 
256, 1775276358 
256, 1778216630 
256, 1775982396 
256, 1774370412 
256, 1773051304 
256, 1774113394 
256, 1773635590 
256, 1776564150 
256, 1774360980 
256, 1773703914 
256, 1774235560 
256, 1774681628 
256, 1774694506 
256, 1774395890 
256, 1772338028 
256, 1773755662 
256, 1772358242 
256, 1771022464 
256, 1773857078 
256, 1778572862 
256, 1775210874 
256, 1772706500 
256, 1774475294 
512, 14264533082 
512, 13939168060 
512, 14283511568 
1024, 110509164956 
1024, 110394346622 
1024, 108868758942 
2048, 898272194452 
2048, 890445173400 
2048, 888550161822 
