n, cycles
32, 9178080 
32, 9081506 
32, 9105626 
32, 9061946 
32, 9053940 
32, 9132896 
32, 9103168 
32, 9086444 
32, 9154692 
32, 9126080 
32, 9082762 
32, 9093292 
32, 9078418 
32, 9163840 
32, 9161990 
32, 9162742 
32, 9090994 
32, 9101464 
32, 9105762 
32, 9101992 
32, 9061908 
32, 9141768 
32, 9124928 
32, 9019348 
32, 9049412 
32, 9110260 
32, 9052962 
32, 9091460 
32, 9029666 
32, 9073588 
64, 63991562 
64, 63397840 
64, 63504770 
64, 63774302 
64, 63143310 
64, 63452804 
64, 63528774 
64, 63609248 
64, 63299700 
64, 63464416 
64, 63251570 
64, 63447118 
64, 63239094 
64, 63568300 
64, 63403276 
64, 63027648 
64, 63332132 
64, 63426630 
64, 63442530 
64, 63347098 
64, 63211494 
64, 63732362 
64, 63142458 
64, 63456680 
64, 63265780 
64, 63343156 
64, 63397388 
64, 63404120 
64, 63314816 
64, 63410636 
128, 492344198 
128, 490827596 
128, 490355032 
128, 490087126 
128, 489353490 
128, 489494136 
128, 489263874 
128, 490229804 
128, 496253930 
128, 491182878 
128, 489865850 
128, 492939138 
128, 489863432 
128, 489984196 
128, 490074814 
128, 489275792 
128, 494333136 
128, 494183998 
128, 494929128 
128, 489314924 
128, 489451174 
128, 489663058 
128, 489827230 
128, 488478872 
128, 489690736 
128, 489219570 
128, 489586084 
128, 489727288 
128, 489848762 
128, 489630482 
256, 4445900414 
256, 4412692050 
256, 4401840682 
256, 4309752602 
256, 4383154764 
256, 4410331642 
256, 4400161564 
256, 4352080402 
256, 4395940870 
256, 4390077742 
256, 4354617134 
256, 4395211316 
256, 4319726650 
256, 4359365090 
256, 4388678998 
256, 4329614806 
256, 4311414706 
256, 4367009172 
256, 4319168714 
256, 4384115394 
256, 4401750768 
256, 4320858844 
256, 4364520516 
256, 4387334210 
256, 4324171470 
256, 4328637218 
256, 4370295998 
256, 4370951402 
256, 4406785140 
256, 4376310198 
512, 37060346298 
512, 36629889854 
512, 36968448074 
1024, 304801841428 
1024, 301343299584 
1024, 299189106032 
2048, 2463568258208 
2048, 2463855989266 
2048, 2450557417114 
