n, cycles
32, 14637404 
32, 14260166 
32, 14528294 
32, 14438200 
32, 14462844 
32, 14521096 
32, 14539752 
32, 14369984 
32, 14476940 
32, 14426732 
32, 14424620 
32, 14385340 
32, 14396352 
32, 14380344 
32, 14400636 
32, 14409448 
32, 14354114 
32, 14608092 
32, 14495628 
32, 14546720 
32, 14388570 
32, 14603708 
32, 14394740 
32, 14489550 
32, 14462676 
32, 14452530 
32, 14418072 
32, 14556568 
32, 14426426 
32, 14556606 
64, 51552420 
64, 51431810 
64, 51574582 
64, 51649540 
64, 51309468 
64, 51568612 
64, 51600398 
64, 51459822 
64, 51358098 
64, 51406738 
64, 51160908 
64, 51359888 
64, 51356662 
64, 51570902 
64, 51533446 
64, 51115334 
64, 51422356 
64, 51430080 
64, 51379628 
64, 51869132 
64, 51277598 
64, 51711514 
64, 51682534 
64, 51294816 
64, 51340138 
64, 51373760 
64, 51550062 
64, 51531346 
64, 51155066 
64, 51464138 
128, 214533308 
128, 214157930 
128, 214152580 
128, 214700430 
128, 214280588 
128, 214873716 
128, 214343030 
128, 214295286 
128, 214610868 
128, 214372920 
128, 213932986 
128, 214085296 
128, 214127584 
128, 213351296 
128, 213476354 
128, 213355542 
128, 213253048 
128, 213311668 
128, 213622132 
128, 213298188 
128, 213367470 
128, 213960842 
128, 213840494 
128, 213198116 
128, 213810702 
128, 214135596 
128, 213213446 
128, 213664736 
128, 214169414 
128, 214865216 
256, 988167470 
256, 986160680 
256, 985335528 
256, 985329040 
256, 987847170 
256, 985437680 
256, 987037126 
256, 987588436 
256, 990315884 
256, 987513774 
256, 987776512 
256, 988285490 
256, 988620544 
256, 986122960 
256, 986761176 
256, 987368140 
256, 985938832 
256, 984521570 
256, 985111282 
256, 986244354 
256, 984753456 
256, 984655770 
256, 986188956 
256, 985317904 
256, 987443362 
256, 986030758 
256, 986125218 
256, 986282602 
256, 984262438 
256, 985974472 
512, 6633252666 
512, 7455775012 
512, 6888280862 
1024, 44097974762 
1024, 44157790778 
1024, 44033011038 
2048, 359618984184
2048, 360106783795
2048, 358869039960
