n, cycles
32, 505566
32, 471222
32, 477200
32, 470736
32, 471584
32, 471462
32, 470710
32, 468022
32, 468332
32, 468538
32, 468680
32, 467500
32, 468816
32, 468094
32, 468298
32, 469090
32, 468728
32, 468134
32, 468626
32, 468776
32, 470502
32, 468318
32, 469854
32, 468776
32, 468628
32, 469116
32, 469088
32, 468480
32, 467748
32, 468290
64, 3831286
64, 3776302
64, 3777654
64, 3780528
64, 3788500
64, 3782602
64, 3780302
64, 3794516
64, 3779298
64, 3777798
64, 3775396
64, 3784848
64, 3772200
64, 3778938
64, 3777102
64, 3783402
64, 3775278
64, 3773398
64, 3789522
64, 3779752
64, 3776518
64, 3774214
64, 3779250
64, 3775052
64, 3774622
64, 3783136
64, 3776976
64, 3773404
64, 3777632
64, 3779008
128, 30665926
128, 30576700
128, 30579652
128, 30589772
128, 30598482
128, 30576670
128, 30614282
128, 30570414
128, 30564232
128, 30565862
128, 30571978
128, 30535122
128, 30553736
128, 30553176
128, 30565546
128, 30565112
128, 30560546
128, 30565652
128, 30619784
128, 30578072
128, 30548116
128, 30544266
128, 30550024
128, 30572538
128, 30548850
128, 30563390
128, 30542348
128, 30552746
128, 30547886
128, 30642242
256, 250975544
256, 250682662
256, 250598548
256, 250585628
256, 250609706
256, 250572840
256, 250602840
256, 250596362
256, 250592894
256, 250554754
256, 250576648
256, 250557576
256, 250560514
256, 250592960
256, 250635248
256, 250687246
256, 250568034
256, 250575338
256, 250587784
256, 250641070
256, 250572744
256, 250637866
256, 250594496
256, 250593096
256, 250572564
256, 250606350
256, 250556686
256, 250601412
256, 250633284
256, 250584942
512, 1969008738
512, 1967678000
512, 1967632726
512, 1967333646
512, 1967444780
512, 1967890864
512, 1967507770
512, 1967721630
512, 1967642092
512, 1967665568
512, 1967834530
512, 1967856806
512, 1967566228
512, 1967534428
512, 1967802148
512, 1967315044
512, 1968228380
512, 1967736698
512, 1967585966
512, 1967952090
512, 1967879022
512, 1967895270
512, 1967814396
512, 1968044990
512, 1967961942
512, 1967848434
512, 1967855276
512, 1968332014
512, 1967854406
512, 1967879648
1024, 15702748084
1024, 15697803522
1024, 15698766106
2048, 126368111916
2048, 126330814142
2048, 126332083112
4096, 1036267913562
4096, 1036067414770
4096, 1036084117998
8192, 8308939727304
8192, 8308563711688
8192, 8308785218650
