n, cycles
32, 96892756 
32, 97640948 
32, 97017364 
32, 97181556 
32, 96970272 
32, 96370110 
32, 97166366 
32, 96600318 
32, 97102944 
32, 96892334 
32, 96564066 
32, 97465854 
32, 96469926 
32, 97070562 
32, 97003608 
32, 96392160 
32, 96987316 
32, 96925822 
32, 96632140 
32, 96661650 
32, 97204404 
32, 97082632 
32, 96567846 
32, 96958736 
32, 96854520 
32, 96727616 
32, 97371482 
32, 96378308 
32, 96686580 
32, 96682066 
64, 630685164 
64, 630502292 
64, 633115066 
64, 631172104 
64, 630634290 
64, 631476838 
64, 632689102 
64, 632689284 
64, 631553466 
64, 632725586 
64, 631657606 
64, 636625084 
64, 632257070 
64, 630737502 
64, 631146266 
64, 631185046 
64, 630948118 
64, 638704818 
64, 632677404 
64, 631157544 
64, 631422048 
64, 630995942 
64, 631601114 
64, 632133036 
64, 632465466 
64, 631539288 
64, 632601872 
64, 633999794 
64, 630697200 
64, 632652944 
128, 4397866898 
128, 4438251570 
128, 4401232590 
128, 4394286524 
128, 4434139452 
128, 4398264460 
128, 4431762358 
128, 4394806204 
128, 4398684000 
128, 4440091310 
128, 4400381382 
128, 4403001986 
128, 4388392054 
128, 4397940870 
128, 4401419526 
128, 4398296308 
128, 4401960700 
128, 4397371222 
128, 4397430114 
128, 4398001076 
128, 4392479438 
128, 4396235056 
128, 4397689140 
128, 4398424456 
128, 4400327712 
128, 4401066228 
128, 4397115844 
128, 4394543338 
128, 4401670274 
128, 4398503760 
256, 32367115294 
256, 32272672700 
256, 32233115466 
256, 32295380978 
256, 32284808756 
256, 32276202630 
256, 32292697558 
256, 32269625242 
256, 32297543276 
256, 32301867342 
256, 32286181454 
256, 32319471370 
256, 32314495432 
256, 32293216780 
256, 32302684822 
256, 32270743976 
256, 32282948160 
256, 32284334386 
256, 32284842020 
256, 32283897486 
256, 32297346632 
256, 32293634808 
256, 32291742074 
256, 32292645710 
256, 32281507218 
256, 32297197960 
256, 32282770888 
256, 32283165356 
256, 32254010174 
256, 32275559606 
512, 247366404676 
512, 248388206562 
512, 246878938634 
1024, 1925548688718 
1024, 1906449731512 
1024, 1909846851516 
2048, 15061401506992 
2048, 15078809912218 
2048, 15206361410638
