N 		 cycles base  		 qsort 		 klib_mergesort 		 quadsort
256 		 26924.450464 		 0.4819x 		 0.8495x 		 0.9915x
256 		 25690.432531 		 0.5569x 		 0.8051x 		 1.1415x
256 		 25601.799285 		 0.5592x 		 0.8113x 		 1.1422x
256 		 24031.997149 		 0.5251x 		 0.7877x 		 1.0848x
256 		 24080.368736 		 0.5254x 		 0.7663x 		 1.0782x
256 		 23621.117179 		 0.5156x 		 0.7075x 		 0.7571x
256 		 24164.554972 		 0.5257x 		 0.7881x 		 1.0801x

512 		 52700.497231 		 0.4533x 		 0.6832x 		 0.9338x
512 		 51631.644472 		 0.4427x 		 0.5811x 		 0.7656x
512 		 54361.701556 		 0.5179x 		 0.7294x 		 1.0731x
512 		 52796.521438 		 0.4855x 		 0.6987x 		 0.9961x
512 		 74452.516221 		 0.6460x 		 1.0098x 		 1.5930x
512 		 50888.379072 		 0.4951x 		 0.6849x 		 1.0494x
