n, cycles
32, 135490
32, 133606
32, 130768
32, 131192
32, 130782
32, 131972
32, 129188
32, 132874
32, 129998
32, 128828
32, 131354
32, 129920
32, 131562
32, 129844
32, 131836
32, 130202
32, 130506
32, 131140
32, 129924
32, 129392
32, 130282
32, 130898
32, 130312
32, 132692
32, 129678
32, 129418
32, 131086
32, 129588
32, 128850
32, 130360
64, 972510
64, 964876
64, 956740
64, 955614
64, 953876
64, 955930
64, 957704
64, 964146
64, 957126
64, 954496
64, 953280
64, 958880
64, 950410
64, 959304
64, 964564
64, 959088
64, 953614
64, 957034
64, 959406
64, 961126
64, 955726
64, 953050
64, 955228
64, 957574
64, 957254
64, 958424
64, 958430
64, 953926
64, 954902
64, 953110
128, 6715034
128, 6670938
128, 6655202
128, 6628988
128, 6654454
128, 6633710
128, 6670634
128, 6645110
128, 6641602
128, 6636812
128, 6648768
128, 6639162
128, 6637826
128, 6621364
128, 6628850
128, 6620380
128, 6640388
128, 6625812
128, 6652720
128, 6649826
128, 6631194
128, 6632480
128, 6640650
128, 6632960
128, 6620994
128, 6632586
128, 6640878
128, 6654890
128, 6630818
128, 6637924
256, 61239742
256, 61070280
256, 61046258
256, 61016516
256, 61019238
256, 61153758
256, 61078006
256, 61080620
256, 61026812
256, 61170976
256, 61030298
256, 61027690
256, 61018000
256, 61029028
256, 61102964
256, 61054446
256, 61054946
256, 61066604
256, 61036256
256, 61093718
256, 61097496
256, 61072192
256, 61135866
256, 61076090
256, 61094648
256, 61032054
256, 61196286
256, 61166764
256, 61074382
256, 61041190
512, 516051424
512, 515325038
512, 515226998
1024, 4235357674
1024, 4231116238
1024, 4231322538
2048, 34259191422
2048, 34269563430
2048, 34258561672
4096, 275498693776
4096, 275456295762
4096, 275421335630
8192, 2205000545286
8192, 2204573399426
8192, 2204475535752
