n, cycles
32, 233562
32, 237274
32, 228830
32, 227818
32, 229472
32, 228482
32, 228726
32, 228192
32, 229376
32, 227992
32, 231258
32, 227154
32, 228602
32, 229632
32, 227376
32, 229620
32, 230622
32, 231304
32, 228036
32, 231590
32, 230204
32, 228490
32, 229088
32, 231324
32, 228380
32, 227922
32, 230258
32, 227784
32, 228856
32, 230682
64, 1240404
64, 1231202
64, 1229962
64, 1231190
64, 1229154
64, 1231688
64, 1234254
64, 1231706
64, 1235304
64, 1222874
64, 1220456
64, 1222954
64, 1221644
64, 1219990
64, 1503790
64, 1221804
64, 1220256
64, 1227738
64, 1272474
64, 1235730
64, 1257722
64, 1229946
64, 1231754
64, 1235838
64, 1228492
64, 1232518
64, 1223174
64, 1269610
64, 1247422
64, 1243872
128, 7366586
128, 7313696
128, 7316922
128, 7301462
128, 7332560
128, 7352788
128, 7331838
128, 7343302
128, 7363334
128, 7346966
128, 7339610
128, 7354954
128, 7340996
128, 7349880
128, 7338368
128, 7339610
128, 7346296
128, 7358438
128, 7359322
128, 7347234
128, 7344186
128, 7364764
128, 7357902
128, 7359862
128, 7353990
128, 7353284
128, 7362256
128, 7347200
128, 7336160
128, 7343616
256, 50246498
256, 49811224
256, 50005912
256, 51344194
256, 49937796
256, 49773482
256, 49961786
256, 49971122
256, 49914634
256, 50558862
256, 50238472
256, 49903746
256, 50001022
256, 49759996
256, 50008052
256, 49866178
256, 51005548
256, 50149956
256, 49830016
256, 49754520
256, 49743650
256, 51268060
256, 50075918
256, 50804806
256, 49928410
256, 49966692
256, 49804520
256, 49895992
256, 49822076
256, 49900134
512, 416382714
512, 357258038
512, 358450488
1024, 2762605050
1024, 2716713824
1024, 2735590608
2048, 21779462906
2048, 21712332736
2048, 21668052886
4096, 227854931286
4096, 228689097276
4096, 230950338118
8192, 2066716229204
8192, 2055184575538
8192, 2054813159472
