n, cycles
32, 79342
32, 75144
32, 73856
32, 72146
32, 72874
32, 73832
32, 72012
32, 73434
32, 71748
32, 74274
32, 74444
32, 73848
32, 73344
32, 71848
32, 73738
32, 73300
32, 74794
32, 85004
32, 72882
32, 73064
32, 71982
32, 73562
32, 74522
32, 71654
32, 73532
32, 72434
32, 72902
32, 72112
32, 72980
32, 72172
64, 421034
64, 414192
64, 402838
64, 403088
64, 397150
64, 399604
64, 395476
64, 398742
64, 397920
64, 398436
64, 402610
64, 400292
64, 397230
64, 395214
64, 401302
64, 398348
64, 397140
64, 404262
64, 398702
64, 403918
64, 399888
64, 395642
64, 395938
64, 397784
64, 396638
64, 398276
64, 396770
64, 396642
64, 401380
64, 403124
128, 1913484
128, 1866196
128, 1919704
128, 1886798
128, 1864822
128, 1866182
128, 2023004
128, 1857584
128, 1881530
128, 1871536
128, 1891698
128, 1901114
128, 1876512
128, 1881214
128, 1905424
128, 1984780
128, 2264000
128, 1955042
128, 1875752
128, 1860772
128, 1861184
128, 1868206
128, 1954878
128, 1870662
128, 1884706
128, 1853144
128, 1874940
128, 1872654
128, 1925232
128, 1888306
256, 10829964
256, 11300814
256, 10588256
256, 10554030
256, 10587368
256, 11129418
256, 10571368
256, 10751636
256, 10568622
256, 10676860
256, 10601596
256, 11254334
256, 10516990
256, 10590096
256, 11126198
256, 10607408
256, 10572660
256, 10580670
256, 11253380
256, 10540636
256, 10531568
256, 10466402
256, 10539538
256, 10605886
256, 10549952
256, 10545506
256, 10642010
256, 10694442
256, 10551082
256, 10523172
512, 61603072
512, 62386178
512, 60340778
1024, 405513238
1024, 410152024
1024, 403122880
2048, 2822415196
2048, 2841828104
2048, 2789477034
4096, 20682219972
4096, 20569545376
4096, 20807397386
8192, 164516975622
8192, 163319155510
8192, 163257359734
