n, cycles
32, 81114
32, 76796
32, 75280
32, 73528
32, 74608
32, 74762
32, 74088
32, 73984
32, 73740
32, 72576
32, 73470
32, 72868
32, 74396
32, 73240
32, 73264
32, 72650
32, 74036
32, 74402
32, 72908
32, 73820
32, 73016
32, 73956
32, 74896
32, 75150
32, 73806
32, 74744
32, 74070
32, 74360
32, 72260
32, 73292
64, 388360
64, 372442
64, 368838
64, 372284
64, 369818
64, 368980
64, 369996
64, 369954
64, 367978
64, 370368
64, 369420
64, 368664
64, 366674
64, 364244
64, 368864
64, 370214
64, 369612
64, 370568
64, 370056
64, 371962
64, 369034
64, 366634
64, 366300
64, 369430
64, 368644
64, 370272
64, 367180
64, 369872
64, 364588
64, 372894
128, 1768576
128, 1727326
128, 1721462
128, 1723446
128, 1718560
128, 1727428
128, 1726528
128, 1727380
128, 1728182
128, 1735110
128, 1725564
128, 1730230
128, 1719098
128, 1715574
128, 1714678
128, 1718736
128, 1713590
128, 1725930
128, 1721588
128, 1724328
128, 1712308
128, 1726164
128, 1715822
128, 1727684
128, 1712840
128, 1713776
128, 1723096
128, 1723984
128, 1722272
128, 1712150
256, 9563996
256, 9475178
256, 9448350
256, 9430174
256, 9379056
256, 9402524
256, 9374732
256, 9496464
256, 9447526
256, 9416776
256, 9409334
256, 9426086
256, 9393896
256, 9441000
256, 9470918
256, 9466142
256, 9486368
256, 9433376
256, 9429318
256, 9518062
256, 9471262
256, 9455356
256, 9440906
256, 9406226
256, 9467808
256, 9473570
256, 9460928
256, 9397864
256, 9401004
256, 9367058
512, 53620656
512, 52188406
512, 52144900
1024, 346906334
1024, 343179460
1024, 343336930
2048, 2508887108
2048, 2492338310
2048, 2491718734
4096, 18900399658
4096, 18849669364
4096, 18838654846
8192, 148374723440
8192, 148318068228
8192, 148764074132
