remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
578332,2102227,22591694033,47528352595,93956415,1321723781,1870801507,41028365,26507686,142415224
581851,2064821,21696236495,47481443849,91773523,1313966024,1866732195,40641415,27170776,144174160
554659,2053129,21863856374,47499569027,92035657,1311026811,1866619023,40620820,26712760,145910177
592750,2067743,22721835376,47527739341,94251199,1322737615,1868652905,40781743,27563038,147668935
538266,2070698,21672503975,47547644905,91057567,1311135136,1871189139,40674209,27390076,145607979
641538,2067797,21972338009,47487584411,92182605,1312177061,1866321722,40723969,26407627,145472520
606859,2073503,22370531678,47459538495,93178998,1319419351,1869011047,40632219,27477612,145916544
532541,2052982,21351151242,47463415501,88992692,1309925038,1866402241,40679262,27783678,142439171
609905,2371009,22647367293,47504933126,93001659,1317060474,1866418133,40924928,25871837,158176423
554350,2052854,21990783358,47487589379,91550679,1313495206,1866749930,40891889,26303158,141301653
537938,2066785,21354241782,47464084632,89275691,1311226598,1866334483,40772487,26641651,142531527
594975,2403868,22620530321,47568985332,93468074,1321910622,1871579911,41284313,26784820,154229534
574687,2052116,21495787230,47453013891,88983029,1310238073,1866228890,41217726,26789041,141816093
535080,2053768,22041381467,47467085787,92091445,1314516943,1866048442,40898919,26319656,142175553
600014,2408938,22648212012,47457947885,93058625,1318414311,1866214969,40806887,27077130,155318080
578090,2057641,22075943636,47455971004,91692428,1309813422,1865344002,40857807,26821931,139529004
566584,2082573,21789487691,47528529730,90877589,1311345923,1870774435,40943223,26975120,145057512
607758,2069138,22899532206,47484014211,95479066,1322656522,1867138580,40714689,25874058,146976333
614262,2054970,21769620415,47477427739,90664358,1311808732,1868184480,40830546,26490942,140736007
604846,2059049,21930706173,47452783125,92115267,1314438967,1865483343,40570591,26804552,140357698
575176,2086203,22712808236,47702114589,94578084,1325278170,1873646249,40921272,27521157,148136220
575683,2089759,22267075003,47919189625,91879823,1318807901,1877437429,41617538,30117464,145785858
606580,2067641,22063900322,47512247953,92800419,1315454376,1867288686,40824236,27326756,136411447
569856,2083592,22735762436,47479650863,94650695,1323152547,1866705651,41786441,26228383,146465721
584414,2056063,22223832622,47467124229,91616232,1310956696,1867581481,40589566,26428910,140671197
601999,2049934,21994257094,47474720723,91974577,1315036606,1867300388,40791082,26848025,141961173
538670,2055826,21848703087,47462348776,91061538,1312537175,1866786356,40663437,26839532,144076793
557190,2069328,22432013889,47486089455,92571766,1315184294,1868719004,40586044,26107223,138913834
554822,2052197,21871467824,47456143875,91558839,1314489900,1865782139,40811556,26635717,141999459
