n, cycles
32, 9088604 
32, 9168638 
32, 9079432 
32, 9018138 
32, 9055950 
32, 9134996 
32, 9112810 
32, 9159140 
32, 9071740 
32, 9049774 
32, 9170496 
32, 9157154 
32, 9122064 
32, 9182276 
32, 9227754 
32, 9067672 
32, 9090874 
32, 9041910 
32, 9155444 
32, 9065586 
32, 9148844 
32, 9101960 
32, 9167278 
32, 9112920 
32, 9026456 
32, 9070242 
32, 9028950 
32, 9153230 
32, 9029768 
32, 9068210 
64, 63043138 
64, 62740694 
64, 62964544 
64, 63080332 
64, 62768352 
64, 62816552 
64, 62801246 
64, 62920794 
64, 62956496 
64, 62930848 
64, 62924108 
64, 62945624 
64, 62821370 
64, 63062966 
64, 63315370 
64, 62609006 
64, 63001606 
64, 62835286 
64, 62995294 
64, 62851306 
64, 62803560 
64, 63250266 
64, 62853626 
64, 62882850 
64, 62957812 
64, 62960904 
64, 63208086 
64, 62927536 
64, 62796128 
64, 62970144 
128, 494316398 
128, 491830414 
128, 496359564 
128, 491330680 
128, 490904872 
128, 494421584 
128, 492231862 
128, 491449332 
128, 491206794 
128, 492275834 
128, 490829552 
128, 490464174 
128, 491523226 
128, 492028720 
128, 491159016 
128, 490960292 
128, 491197086 
128, 490910234 
128, 491636708 
128, 491411716 
128, 490979626 
128, 491762888 
128, 492320726 
128, 491017916 
128, 496676362 
128, 491215846 
128, 490779898 
128, 493704108 
128, 493379074 
128, 492679666 
256, 4316214506 
256, 4332614126 
256, 4337841842 
256, 4318673138 
256, 4318973084 
256, 4353484856 
256, 4355324208 
256, 4317049600 
256, 4355921950 
256, 4325791458 
256, 4316708106 
256, 4316819364 
256, 4327420130 
256, 4349995326 
256, 4320066598 
256, 4332865916 
256, 4322823942 
256, 4321820654 
256, 4320708730 
256, 4331370694 
256, 4305726636 
256, 4323145364 
256, 4330392858 
256, 4303162370 
256, 4302095914 
256, 4301590880 
256, 4308764504 
256, 4302008276 
256, 4298414448 
256, 4301144892 
512, 36673146852 
512, 36270233842 
512, 36170284282 
1024, 300999938746 
1024, 303228628576 
1024, 302715017056 
2048, 2465531789620 
2048, 2455448506366 
2048, 2417526207892 
