remaining_runtime,build_heap,insert,l2-norm,insert_up,insert_down,shuffle,utility,col_mean,get_knn_inner
565640,2097715,25435788467,6758953774,104630741,1531541211,1891966186,49000759,16026339,106901054
536662,2079915,25469612238,6673052749,104397879,1526624865,1878850857,48377097,13302965,104123516
543538,2111863,26161509176,6963490694,107988368,1547431124,1906413023,49234471,15052940,109526653
558037,2130476,25992824887,7003377624,107539850,1548213202,1910334512,51112404,14893926,110006783
552017,2200375,26973944630,7399164805,113333992,1577164632,1945268023,50823614,16298322,120292105
561694,2117129,26296846294,7119278094,110196737,1555663766,1921784758,49695373,17065393,115071216
559815,2074519,25565363634,6751351500,105245476,1531457524,1890591738,48688765,15071339,105604267
557878,2064986,25384436939,6717023625,104300521,1529444690,1886541107,48764465,16291618,105721444
556717,2120236,26511404218,6990414430,110691155,1550260239,1909103663,49692333,15108884,111360872
574877,2207066,27296149033,7525320125,115386559,1584091058,1957723271,51888952,16333654,119261150
533176,2076810,25760542704,6827553535,106493186,1536060642,1898687882,49577143,15914664,108474159
555082,2138896,26708097324,7130922927,111643349,1558324020,1923100288,50230324,15495832,111494668
563898,2115322,25966336455,7040574812,107775137,1548146801,1921508658,50080979,15687649,111287190
519165,2074716,25763942731,6753391909,105663603,1532263885,1890823193,48861202,14293574,103786770
554213,2127882,26109036856,6968119919,108324526,1544823758,1912696698,49814050,15845910,111366057
584757,2098262,25703200913,6704337308,105933702,1530658253,1885390179,49005474,14526325,102799183
533254,2139358,26390623615,7160771673,109209475,1554149583,1936828945,51089412,17612662,115462023
563064,2128019,26182273081,7020902071,108734835,1549368441,1921857680,50844014,15384048,109231925
553367,2065887,25638506929,6612572042,105060755,1524407903,1877149384,48240883,14757884,101794847
546981,2120686,26055348741,7039527975,107553570,1545840744,1924364249,50304097,16918493,111963812
551902,2059920,25840847682,6670151044,106543388,1528471701,1879942132,48862694,15189636,101576351
555820,2086536,26352003260,6844837621,109059620,1543655202,1898174106,48895954,13358370,104092151
541757,2119049,26694097557,6962594879,110129354,1546246765,1909344994,50081316,16209569,108590281
553343,2095138,26222316176,6803624240,108467900,1538027402,1892857367,48596898,15007961,106491868
510392,2086079,25786839476,6625395784,106543722,1529288427,1877904618,48757860,14451536,101638820
547568,2071870,26157822670,6632722858,107091757,1527388621,1879017365,48904502,14335688,104475744
538553,2066668,25500171529,6623568020,105441378,1523336199,1876096575,48315631,15768866,105853737
586778,2141899,25531207763,6723905906,105788502,1531784323,1884239319,50334832,15980199,107917496
594664,2080216,26524050062,6826562128,109926735,1537467381,1900795536,49439961,15200596,108927864
