n, cycles
32, 14836464 
32, 14640112 
32, 14686390 
32, 14573586 
32, 14609544 
32, 14626108 
32, 14752098 
32, 14693784 
32, 14692560 
32, 14740292 
32, 14769258 
32, 14681552 
32, 14659314 
32, 14737644 
32, 14806198 
32, 14734842 
32, 14665698 
32, 14727392 
32, 14708894 
32, 14652258 
32, 14634556 
32, 14729270 
32, 14790280 
32, 14581718 
32, 14611392 
32, 14643914 
32, 14556932 
32, 14710692 
32, 14603440 
32, 14680600 
64, 71295358 
64, 71081174 
64, 71389150 
64, 71605974 
64, 71161422 
64, 71238138 
64, 71455532 
64, 71373738 
64, 71099836 
64, 71126024 
64, 70960834 
64, 71135764 
64, 70919778 
64, 71509292 
64, 71241736 
64, 70950256 
64, 71472576 
64, 71311466 
64, 71360750 
64, 71503512 
64, 71283682 
64, 71740264 
64, 71112470 
64, 71446806 
64, 71320254 
64, 71329000 
64, 71367660 
64, 71363226 
64, 71177106 
64, 71088244 
128, 366696314 
128, 366945212 
128, 365961206 
128, 366874088 
128, 367627460 
128, 367359468 
128, 367595294 
128, 367860376 
128, 367371982 
128, 367119056 
128, 366992220 
128, 366511568 
128, 367700702 
128, 367399652 
128, 367305288 
128, 367434620 
128, 366780796 
128, 366821440 
128, 366992866 
128, 367083548 
128, 367252350 
128, 368092260 
128, 367666246 
128, 367008044 
128, 367882132 
128, 367217836 
128, 367788844 
128, 367484490 
128, 367804536 
128, 367373142 
256, 2203501972 
256, 2204360810 
256, 2200024966 
256, 2198850794 
256, 2200694088 
256, 2201166118 
256, 2204180206 
256, 2201363730 
256, 2208161088 
256, 2204879354 
256, 2208280852 
256, 2204272786 
256, 2198720984 
256, 2197228696 
256, 2199982826 
256, 2200651706 
256, 2200016474 
256, 2200501280 
256, 2204016438 
256, 2204147800 
256, 2204242008 
256, 2202963064 
256, 2197673208 
256, 2199312232 
256, 2197800514 
256, 2199222906 
256, 2203034434 
256, 2200571524 
256, 2201077870 
256, 2200273238 
512, 15359104326 
512, 15345728580 
512, 15570868664 
1024, 109562411552 
1024, 109487449430 
1024, 109677267850 
2048, 872116795954 
2048, 871629584912 
2048, 873127824765 
